nngc 快到
nqpu 以销定产
nqr 惚
nqrd 以卵投石
nqrf 必杀技
nqrn 惚
nqrt 以怨报德
nqru 心狠手辣
nqrv 改名换姓
nqsc 居留权
nqss 尼尔森
nqta 以逸待劳
nqtt 情急智生
nquc 心猿意马
nqud 慢镜头
nquq 遐迩闻名
nqvo 心急如火
nqvs 心急如焚
nqwf 展销会
nqwq 怫然作色
nqww 局外人
nqyt 性解放
nr 怕
nrad 怕苦
nrak 惶惑
nram 惶恐
nrcf 愧对
nrcw 怕难
nrdr 屈打成招
nrdw 以势压人
nrfo 愧赧
nrg 怕
nrgg 惶
nrgk 怕事
nrgq 怕死
nrgt 屈指一算
nrh 忻
nrha 惶遽
nrhg 发指眦裂
nrid 发扬光大
nrjg 怕是
nrky 飞扬跋扈
nrlp 以手加额
nrlx 怕累
nrn 忾
nrne 慌手慌脚
nrng 惶悚
nrnn 忾
nrnr 惶惶
nrnt 愧怍
nrnv 愧恨
nrpn 怕官
nrq 愧
nrqc 愧
nrqd 惶然
nrqv 快捷键
nrrf 蛋白质
nrso 屈指可数
nrsy 心手相应
nrtg 怕生
nrtj 怕得
nrud 怕羞
nrup 屏气凝神
nruq 愧疚
nruw 情投意合
nrwt 屏气敛息
nrww 怕人
nrye 犀牛望月
nryl 愧为
nryw 怕谁
ns 怵
nsce 性本能
nsfn 飞檐走壁 飞机场
nsfo 心醉魂迷
nsgd 心想事成
nsgg 异想天开 买椟还珠
nsgh 屡禁不止
nsgx 屡禁不绝
nsif 屠格涅夫
nsnj 怵惕
nsns 怪模怪样
nsnt 必要性
nsqd 怵然
nss 憷
nssf 飞机票
nssh 憷
nsud 怵头
nswi 以权代法
nsy 怵
nsyj 尸横遍野
nsyt 以权谋私
nsyy 怵
nt 必
nta 怅
ntaa 发芽
ntad 改期
ntae 发散
ntaf 改革
ntag 慢条斯理
ntai 发落
ntal 发功
ntam 发黄
ntap 发蒙
ntau 发薪
ntaw 发花
ntay 怅
ntb 悸
ntbb 性子
ntbd 尾随
ntbf 发际
ntbg 悸
ntbi 发函
ntbk 履职
ntbm 发出
ntbn 发了
ntc 发
ntce 性能
ntcm 改观
ntcn 尾巴
ntct 以简驭繁
ntcw 发难
ntcy 发
ntd 恬
ntdd 发飙
ntde 必有
ntdg 性感 恬
ntdi 羽毛丰满
ntdl 履历 发奋
ntdm 发布
ntdn 改成
ntdp 发达
ntdr 发愿
ntdy 尾矿
nte 必
nted 必须
ntej 心知肚明
ntep 性爱
nter 性腺
ntet 必胜 改用
nteu 发胖
ntev 飞毛腿
ntf 尾 忤
ntfb 属地
ntfc 发动 改动 屐
ntfd 必需
ntff 尾款
ntfg 发坏
ntfh 发起 忏 忤
ntfj 改进
ntfn 尾 尾声
ntfp 改过 悔过
ntfq 改元
ntft 发霉
ntfu 懊丧
ntg 性
ntga 发型
ntgb 以身殉职
ntgc 发到
ntgd 改天
ntge 发表 恬静
ntgf 属于
ntgg 性
ntgh 改正
ntgi 心血来潮
ntgk 履带
ntgl 以身殉国
ntgm 发现
ntgo 发来
ntgp 必先与之
ntgq 必死
ntgu 履平
ntgv 发妻
nth 怍
ntha 发虚
nthf 怍
nthh 发卡 屣
nthk 改点
nthx 发紫
ntia 发泄
ntid 发源
ntif 发汗
ntig 飞利浦
ntii 发水
ntim 发油
ntin 发烫
ntio 恬淡
ntip 发觉
ntiq 发光
ntit 飞短流长
ntiy 尾注
ntj 虱
ntja 发蜡
ntjc 发紧
ntjd 以升量石
ntje 发明
ntjg 发行量
ntji 虱
ntjj 改日
ntjn 发电
ntjp 发晕
ntjq 改易
ntjt 愎
ntk 属
ntkg 恪
ntkk 改口 性器
ntkl 性别
ntkm 飞行员
ntks 发呆
ntkw 发嗲
ntky 属
ntl 恤
ntld 悔罪
ntlf 发黑
ntlg 恤
ntlk 发回
ntlq 发软
ntls 发困
ntlt 发力
ntlv 发轫
ntlw 改办
ntly 改辙
ntm 懊
ntmd 懊
ntme 尾骨
ntmf 发财
ntmh 发帖
ntmm 恨入骨髓
ntmt 必败
ntmy 发凡
ntna 发展
ntnb 悖入悖出
ntnf 发愤
ntng 性情 发情 怜香惜玉
ntnl 发愣
ntnm 怅惘
ntns 发怵
ntnt 属性 忏悔 懊悔
ntnv 悔恨
ntny 懊恼
nto 愀
ntoa 发烧
ntog 改业
ntoo 发火 发炎
ntoq 发炮
ntos 尾灯
ntou 发糕
ntov 尾数 屦
ntow 发粉
ntoy 愀
ntpe 发家
ntpf 恪守
ntpg 必定 改写
ntpn 民告官
ntpu 属实
ntpv 发案
ntpw 必究
ntpy 发福
ntqa 发昏 改错
ntqc 改色
ntqd 必然
ntqg 尾鳍
ntqk 改名
ntqn 发包
ntqq 恤金
ntqs 必杀
ntqt 发狂
ntqv 性急
ntqw 改锥
ntrb 发报
ntrf 性质
ntrg 发兵
ntrh 改掉
ntrm 改制
ntrn 发扬 发掘
ntrp 发挥
ntrq 改换 以德报怨
ntrr 发誓
ntru 发抖
ntrv 发热
ntrw 改扮
ntrx 发指
ntsa 悔棋
ntsf 发票
ntsg 发酵 发酸
ntsh 属相
ntsi 发梢
ntso 尾楼
ntss 发木
ntst 性格
ntsu 发榜
ntsv 必要
ntsy 以身相许
ntt 履
nttd 恬适
ntte 尾盘
nttf 发行 改造 履行
nttg 发生
ntth 改版 发自
nttj 必得
nttl 必备
nttm 发射
ntto 发愁
nttp 心向往之
nttq 改称
nttr 发物
ntts 发条
nttt 发笑 履
nttu 心血管病
nttw 必答
ntty 发稿 发往
ntub 忤逆
ntuc 发痛
ntud 发送 改善 改判
ntuf 改装
ntug 发病 性病
ntuj 发音
ntuk 发问 尾部
ntum 发疯
ntun 发闷
ntuq 必将 性交
ntus 恪遵
ntut 改道 书香门第
ntuu 发痒
ntuw 发冷
ntux 发辫
ntuy 发凉
ntvb 改好
ntvc 发怒
ntvf 改建
ntvi 异乎寻常
ntvj 羿射九日
ntvo 性灵
ntvp 改嫁
ntvq 悔婚
ntvt 改姓
ntvy 心乱如麻
ntwf 居委会
ntwg 性命
ntwh 必修
ntwm 以身作则
ntwn 尾追
ntwr 发件
ntwt 发作
ntww 性欲
ntwx 发货
ntwy 发信 发售
ntx 悔
ntxa 发红
ntxc 必经
ntxe 改组
ntxg 改线
ntxn 必纠
ntxq 履约
ntxt 发绺
ntxu 悔
ntxv 发绿
ntxw 发给
ntxx 发丝
ntxy 改编
nty 改
ntyc 发育
ntyf 必读
ntyg 发证
ntyi 以身试法
ntyk 性知识
ntyl 改为 避重就轻
ntym 发市
ntyn 尾房
ntyo 改变 发迹
ntyp 发亮
ntys 改订 发麻
ntyt 发放 发话
ntyv 改良
ntyy 发言 发文 发廊
nu 习
nua 屏
nuae 买菜 飞散
nuai 飞落
nuaj 屏幕
nuak 屏
nuan 习艺
nuat 收效甚微
nuau 屏蔽
nuaw 飞花
nuax 买药
nuay 异端邪说
nubg 悦耳
nubm 飞出
nubn 买了
nubu 屏障
nubw 屏除
nucb 飞驰
nuce 买通
nuck 飞驶
nucr 心痒难挠
nud 习
nuda 飞碟
nudd 羼
nudf 飞奔
nudl 心慈面软
nudn 买成
nudt 屡次三番
nudu 买
nudv 恼羞成怒
nudw 买春
nudx 飞龙
nueb 悦服
nuep 憎爱
nuet 习用
nueu 飞腾
nuf 翌
nufb 飞地
nufc 飞去
nufh 飞越 买走
nufj 买进
nufn 买卖
nufp 飞过
nufs 飞霜
nufv 飞雪
nuga 习武
nugc 买到
nugd 飞天
nuge 愣头青
nugf 飞球
nugh 买下
nugk 飞速
nugo 买来 憎恶
nuhh 悦目
nuhk 买点
nuhv 飞眼
nuhx 买些
nui 飞
nuia 飞鸿
nuic 民意测验
nuig 飞沫
nuij 飞瀑
nuim 飞溅
nuip 飞泻
nuiq 买光
nuis 飞洒
nuiv 习染
nuix 飞涨
nuj 惮 憧
nujd 翌晨
nujf 惮 憧
nujg 习题
nujh 飞虫
nujj 翌日
nujr 飞蝗
nujt 飞蛾
nujv 飞归
nuk 悦
nukh 飞跃
nukq 悦 飞吻
nul 憎
nulf 慰问团
nulg 飞车
nulj 憎
nulk 飞回
nulw 买办
numa 飞贼
numq 屏风
numt 买账
numw 买肉
nune 愣头愣脑
nunj 憧憬
nunn 飞快
nunt 习性
nunu 尽善尽美
nunv 憎恨
nunx 习惯
nuon 买断
nupb 习字
nupe 买家
nupn 买官
nupo 飞灾
nupq 以产定销
nupt 买客
nuqc 悦色
nuqg 飞鱼
nuqn 买饭
nuqs 飞镖
nuqy 飞鸟
nura 飞撒
nurb 飞报
nurd 改头换面
nurh 翌年
nuri 飞泉
nurl 飞舞 心慈手软
nurn 飞扬 习气 屏气
nurq 飞抵
nurr 飞逝
nurt 买手
nury 飞掠
nusf 买票
nusm 飞机 收音机
nuso 买楼
nusq 飞檐
nuta 飞升
nute 飞船
nutf 飞行
nuth 屏息
nutm 飞向 飞身
nuts 屏条
nutw 壁立千仞
nutx 性关系
nuty 买入 飞往
nuua 飞迸
nuud 飞翔
nuue 劈头盖脸
nuuf 以意逆志
nuuj 买单
nuuy 屏门
nuv 慊
nuvb 买好
nuve 屏退
nuvk 飞絮
nuvn 飞刀
nuvo 慊
nuwb 飞仔
nuwk 屏保
nuwt 习作
nuww 习俗
nuwy 飞禽
nux 悌
nuxa 飞红
nuxc 飞经
nuxt 悌
nuxu 飞弹
nuy 悯
nuya 飞度
nuyb 飞离
nuyg 买主
nuyp 以意为之
nuyt 飞旋
nuyv 以次充好
nuyw 飞鹰
nuyy 买方 悯
nv 恨
nvaw 恰如其分
nvba 恍如隔世
nvc 慨
nvcq 慨
nvda 屡建奇功
nvdf 心如古井
nvdy 敢怒而不敢言
nve 恨
nvey 恨
nvgd 心如死灰
nvgk 恨事
nvgq 恨死
nvgy 敢怒不敢言
nvhi 心如止水
nvk 怊
nvkc 慨叹
nvkg 怊
nvly 快刀斩乱麻
nvn 忉
nvni 惟妙惟肖
nvnv 恨恨
nvny 敢怒敢言
nvqd 慨然
nvqv 恨煞
nvra 心灵手巧
nvsf 恍如梦境
nvsm 收录机
nvte 恨透
nvuj 恨意
nvv 尻
nvvp 心如刀割
nvvx 心如刀绞
nvwu 尽如人意
nvyf 以退为进
nw 愉
nwab 情人节
nwad 惟其
nwag 恰巧
nwam 惟恐
nwav 以售其奸
nwb 怆
nwbn 怆
nwc 忪
nwcy 忪
nwdh 戳破
nwe 戮
nwea 戮
nweg 鹨
nwep 怜爱
nwfu 飞禽走兽
nwg 愉
nwgh 尸位素餐
nwgj 愉
nwgk 恰
nwgl 慌作一团
nwgp 局促不安
nwhy 情人眼里出西施
nwii 发人深省
nwil 发人深思
nwiv 恰当
nwjg 恰是
nwjm 恰遇
nwkm 司令员
nwlt 戮力
nwlx 心余力绌
nwmj 异途同归
nwna 怜惜
nwnc 丑八怪
nwnf 怜贫惜老
nwni 敢作敢当
nwnn 愉快
nwnt 怜恤
nwnu 愉悦 怜悯
nwnw 恰恰
nwny 憔悴 快人快语
nwpb 异体字
nwpe 剧作家
nwpn 司令官
nwpw 戳穿 心领神会
nwqd 怆然
nwsw 以偏概全
nwtd 恰逢
nwtf 以假乱真
nwts 收件箱
nwuc 怆痛
nwud 以儆效尤
nwuk 司令部
nwuu 性命交关
nwvb 恰好
nwvk 恰如
nwwf 恰值
nwwh 慢悠悠
nwwn 恰似
nwwq 恰像
nwwu 性命攸关
nwww 收信人
nwxt 尽人皆知
nwxx 性价比
nwy 惟
nwya 戳
nwyc 怜
nwyf 翟
nwyg 惟
nwyh 以邻为壑
nwyj 必修课
nwyn 戳记
nwyo 憔
nwyq 以人为镜
nwys 以人为本
nx 尼
nxad 惯匪
nxcy 惯骗
nxdq 尼克
nxdx 尼龙
nxeb 羽绒服
nxem 屁股
nxes 尼采
nxet 惯用
nxex 以弱胜强
nxf 惯
nxfg 惯坏
nxfm 惯
nxgf 惯于
nxgk 屁事
nxgu 迟疑不决
nxgx 改弦更张
nxhv 屁眼
nxii 以蠡测海
nxip 惯常
nxj 怫
nxjh 怫
nxjl 改弦易辙
nxma 惯贼
nxnt 惯性
nxpf 必经之地
nxpq 惊弓之鸟
nxpw 惯窃
nxqd 怫然
nxqt 惯犯
nxrf 惯技
nxtd 心织笔耕
nxtq 惯称
nxud 惯养
nxuh 收费站
nxuq 惯盗
nxux 恃强凌弱
nxv 尼
nxvd 尼姑
nxvn 心细如发
nxvv 慎终如始
nxwf 慎终追远
nxwg 惯例
nxwp 惨绝人寰
nxww 惯偷
nxwx 情绪化
nxx 屁
nxxv 屁
nxyf 以飨读者
nxyt 屁话
nxyv 尼康
ny 心
nyad 以其
nyae 心散
nyaf 心甘
nyah 心邪
nyai 以东
nyaj 迟暮
nyam 惊恐
nyan 惊世
nyav 心切
nyax 心药
nyb 恼
nybb 尺子
nybh 恼
nybk 尽职
nybm 惊出
nybn 尽了
nybw 惊险
nyby 以防
nyca 心劲
nycf 以对
nycm 层峦叠嶂
nycn 以巴
nycq 尽欢
nycy 惊骇
nydc 尺码
nydg 心硬
nydh 惊艳
nydn 心盛
nydo 心灰
nydr 心愿
nyds 惊奇
nydu 惊厥
nydv 忙碌
nydy 心态 心碎 以太
nyeb 心服
nyef 心肝
nyeg 心肺
nyej 心胆
nyem 心肌
nyen 心肠
nyep 心爱
nyeq 心胸
nyer 心脾
nyet 心腹
nyey 以及 心脏
nyfa 心裁
nyfb 心地
nyfc 心动 惊动
nyfg 尺寸
nyfh 惊起
nyfi 以求
nyfk 惊喜
nyfl 惊雷
nyfm 以南
nyfn 心声 心志
nyfq 心坎
nyft 尽孝
nyfu 心境
nygc 以致 以至 迟到
nygd 屡试不爽
nyge 心静
nygf 忙于
nygg 居高不下
nygh 以下
nygj 心理
nygk 心事
nygm 尽责
nygo 以来
nygq 心死
nygw 惊为天人
nygx 怪诞不经
nygy 翠玉
nyh 惦 忭
nyha 心虚
nyhh 以上 心上 心目
nyhk 惦
nyhv 心眼
nyhw 眉高眼低
nyhx 以此
nyhy 忄 忭
nyi 尺
nyid 心尖
nyie 心浮
nyif 心法 心潮
nyig 迟滞
nyip 民主党
nyir 民主派
nyit 忙活
nyiw 尽兴
nyiy 惊
nyj 昼
nyja 尺蠖
nyjf 心里
nyjg 尽量 居高临下 昼
nyjh 尽早 迟早
nyjj 昼日
nyjn 心电
nyjo 尽显
nyk 咫
nykc 惊叹
nykg 惊吓
nykh 心中 心跳
nykk 心口
nykm 书记员
nykn 惊叫
nyks 惊呆
nykt 惊呼
nykw 咫
nyl 懔
nylf 心黑
nyli 懔
nylk 惊驾
nyll 心田
nylm 心轴
nyln 心思
nylq 心软
nylt 尽力 心力
nyma 心曲
nyme 尺骨
nymm 翠山
nymq 惊风
nymw 以内
nyn 心
nyna 惊异 惊慌 心慌
nync 惊怪
nyng 心情 尽情 慵懒
nynh 惊惧
nynj 迟慢
nynk 惊愕
nynl 惊愣
nynn 忙 尽快
nynr 惊惶
nynt 心性 心悸
nynv 慷慨 恼恨
nyny 尽心 惊心 咫尺 心
nyod 心烦
nyoo 恼火
nyov 尽数
nyp 迟
nypa 心宽
nypf 心寒
nypg 心室
nypi 迟
nypp 以之
nypv 心安
nypw 心窝
nypy 心神
nyqc 翠色
nyqd 尽然
nyqg 迟钝
nyqh 以外
nyqi 心锁
nyqj 心象
nyqk 以免
nyqn 心包
nyqt 心狠
nyqv 心急
nyqy 翠鸟
nyrd 惊扰
nyrg 以后
nyrn 心气
nyrr 心魄
nyrv 惊蛰
nyrw 尽失 心高气傲
nysc 发言权
nysg 惊醒 心酸 心醉
nysh 心想
nysk 尽可
nysm 心机
nysr 翠柏
nyss 惊梦
nyst 以诚相待
nysy 心术
nytd 忙乱 心智
nytf 以待
nytg 心生
nyth 迟延 心算
nytj 心得
nytl 心血
nytm 翠微
nyto 惊悉
nytp 尽管
nytr 心物
nytt 翠竹
nytu 忙乎
nytv 心律
nytw 以诚待人
nytx 心系
nyty 以往
nyu 尽
nyua 情文并茂
nyub 惊闻
nyuc 心痛
nyud 心头 尽头
nyue 以前
nyug 心病
nyuj 心意
nyuq 以资
nyut 心疼
nyuu 尽
nyuw 心冷
nyux 以北
nyuy 心凉
nyv 慷
nyvc 恼怒
nyvh 慵
nyvi 慷
nyvk 心如
nyvo 心灵
nyw 以 悴
nywa 以供
nywd 以文会友
nywe 心广体胖
nywf 翠 悴
nywg 以便
nywi 以言代法
nywt 以作
nyww 惊人 发言人
nywy 心仪 惦念 以讹传讹 以
nyxc 心经
nyxe 迟缓
nyxf 心绪
nyxl 心细
nyxm 羽扇纶巾
nyxt 迟疑
nyxv 翠绿
nyxy 心弦
nyya 惊讶 尺度
nyyb 尽享
nyyf 心计
nyyh 尽让
nyyk 迟误
nyyl 以为
nyyn 惦记 心扉 心房
nyyo 心迹
nyyp 惊诧
nyyq 心底
nyys 心魔
nyyw 昼夜
nyyx 心率
nyyy 民族主义
o 为 火
oa 煤
oaae 烧菜
oaap 迷蒙蒙
oaay 烧荒
oabb 炎黄子孙
oabm 烧出
oabq 烧陶
oacq 烧鸡
oadd 烧碱
oadf 煤砖
oadg 煤厂
oadi 煤耗
oadn 烧成
oado 煤灰
oady 煤矿
oaeb 炼乳
oaec 粪肥
oaf 煤
oaff 粪土
oafg 烘干
oafj 煤井
oafn 火葬场
oafp 烧过
oafs 煤
oaft 烧煮
oafw 粪堆
oafy 粪坑
oagc 烧到
oage 粪青
oagf 煤球
oagq 迷惑不解
oagt 烧麦
oaib 粪池
oaif 煤尘
oaii 烧水
oaim 炼油 煤油
oaiq 粗茶淡饭
oais 烧酒
oaiv 烘染
oakf 火药味
oalg 煤车
oall 煤田
oamd 煤炭
oamm 烧山
oamy 炼丹
oan 炬
oanf 煤层
oang 炬
oani 煤屑
oanw 炼
oany 烧心
oaoa 烘烘
oaof 烧烤 烘烤
oaoj 烧焊
oaol 煤烟
oaoo 烧火
oaoq 烧灼
oaou 烘焙
oaoy 煤炉
oapw 煤窑
oaqg 烧钱
oaqk 炼句
oaqm 炼钢
oaqn 烧饭 烧饼
oaqr 炼铁
oaqt 炼狱
oarf 煤质
oarh 烧掉
oarm 炼制
oarn 煤气
oart 烘托
oasc 粪桶
oasg 烧杯
oat 烧
oata 粪筐
oath 粪臭
oatj 烧香
oatm 烧身
oatq 烧
oatr 烧鹅
oats 烘箱
oaua 烧瓶
oaud 烧着
oava 烧毁
oavi 烧录
oavj 灿若群星
oaw 烘
oawg 粪便
oawt 烧伤
oawu 粪
oawy 烘 烧焦 炼焦
oaxa 灯芯绒
oaxf 烧结
oaxq 烧纸
oaxu 烟幕弹
ob 籽
obfi 精卫填海
obg 籽
obou 籽粒
obxb 断子绝孙
oc 烃
oca 烃
ocag 烃
ocb 糅
ocbs 糅
ocd 糁
ocde 糁
ocn 粑
ococ 粑粑
ocwg 糅合
ocyl 粗通文墨
od 类
odap 烦劳
odbc 类聚
odcw 烦难
odd 粝
oddn 粝
oddr 燎原
ode 糊 煳
odea 烦腻
odeg 糊 煳
odg 炻
odga 类型 糊弄
odgi 烦琐
odgo 烦恶
odgq 烦死
odhh 类目
odiq 燎泡
odiw 糊涂
odkh 烦躁
odkk 糊口
odkl 类别
odm 烦
odmg 类同
odmy 烦
odnd 烦忧
odnn 类书
odny 烦恼
odod 糊糊
odou 糊料
odpg 炼石补天
odpm 烦冗
odpy 烦神
odrd 烦扰
odrm 烟灰缸
odrw 类推
odtd 烦乱
odtu 类乎
odu 类
odud 糊状
odui 燎
odun 烦闷
oduq 类次
odvs 烦杂
odwn 类似
odww 烦人
odwx 类化
odxw 精耕细作
odxx 类比
odya 精确度
odyg 烦请
oe 粗
oeaa 粗工
oead 粗莽
oeaw 粗茶
oebg 粗陋
oece 粗通
oedd 粗大
oedg 粗硬
oedm 粗布
oeeb 迷彩服
oeeu 粗胖
oefh 粗盐
oeg 粗
oegg 粗
oeig 粗浅
oeii 粗沙
oeit 粗劣
oeiv 粗涩
oeja 粗暴
oejf 粗野
oekf 粗鄙
oekg 粗哑
oekk 粗口
oel 爝
oelf 爝
oelt 粗略
oenh 粗疏
oeny 粗心
oeoe 粗粗
oeot 粗糙
oeoy 粗粮
oepu 粗实
oeqg 粗鲁
oeqn 粗饭
oeqt 粗犷
oerh 粗看
oern 粗气
oeru 粗拉
oesh 粗朴
oetd 粗短
oetg 粗重
oets 粗笨
oetu 粗服乱头
oeuf 粗壮
oewd 粗估
oews 粗体
oeww 粗俗
oexg 粗线
oexi 粗纱
oexl 粗细
oexy 粗纺
oeyf 粗读
oeyp 粗豪
oeyt 粗放 粗话
oeyx 粗率
oeyy 粗言
of 灶
ofax 迷魂药
ofbl 迷魂阵
ofbm 烤出
ofck 灶台
ofcq 烤鸡
ofd 糯
ofdj 糯
ofei 灶膛
offg 烤干
ofg 灶
ofgn 断垣残壁
ofhg 断无此理
ofhw 灶具
ofin 迷魂汤
ofjn 烤电
oflq 烤鸭
ofmw 烤肉
ofn 炜
ofnh 炜
ofnt 煽动性
ofol 烤烟
ofoo 烤火
ofoy 糯米 烤炉
ofpy 灶神
ofqn 烤饼
ofre 烘云托月
oft 烤
ofte 烤盘
oftf 断井颓垣
oftj 烤得
oftn 烤
ofts 烤箱
ofud 灶头
ofvn 米老鼠
ofvt 灶君
ofwy 烤焦
ofyb 烤熟
ofyn 灶房
og 业
ogaa 精工
ogag 精巧
ogam 精英
ogaq 精警
ogav 精切
ogay 精萃
ogb 邺
ogbb 精子
ogbg 精卫
ogbh 邺
ogbn 炖
ogbu 业障
ogce 精通
ogd 业
ogdd 业大
ogdg 精研
ogdi 精耕
ogdq 精确
ogds 精奇
ogdy 精矿
oge 精
ogeg 精
ogeo 数不胜数
oges 精彩
ogfc 精魂
ogfg 精干
ogfh 精盐
ogfj 精进
ogfo 精赤
ogft 业者
ogga 凿开
oggc 精致
oggf 精于
oggk 精囊
oghh 数不上
oghl 糟卤
ogia 精湛
ogig 数不清
ogim 精油
ogip 精深
ogiq 精光
ogiv 精当
ogiy 精液
ogj 粳
ogje 精明
ogjq 粳
ogk 焐
ogkg 焐
ogkh 糟蹋
ogkk 精品
ogkm 炊事员
oglt 精力
oglw 业界
ogm 炳
ogma 精典
ogme 精髓
ogmj 糟
ogmw 业内 炳
ognc 精怪
ognj 精悍
ognk 精辟
ognn 业已
ogny 精心
ogoa 精炼
ogof 数一数二
ogog 凿凿
ogor 糟粕
ogou 糟糕
ogoy 精粹
ogpj 精审
ogpn 精密
ogpw 凿穿
ogpy 精神
ogqh 业外
ogqn 精馏
ogqq 精金
ogqu 精锐
ogqy 火烈鸟
ogrb 业报
ogrg 精兵
ogrm 精制
ogrn 精气
ogrr 精白
ogsv 精要
ogte 糟透
ogtf 精选
ogth 精算
ogtl 业务
ogtm 精微
ogtu 精简
ogu 凿
ogub 凿
oguc 黻
oguf 精装
ogug 精美
ogui 黹
oguv 精瘦
oguw 精准
oguy 黼
ogvi 精妙
ogvo 精灵
ogvp 料事如神
ogwf 精舍
ogwt 业余
ogwx 精华 数理化
ogxa 精练
ogxc 业经
ogxg 业绩
ogxl 精细
ogxy 精编 精纺
ogya 精度
ogyb 精熟
ogyd 精诚
ogyf 精读
ogyg 业主
ogyq 精义
ogyv 精良
oh 粘
ohbw 粘附
ohea 粘膜
oheu 粘胶
ohff 粘土
